314509 50 2.499999 Current network file generated by angioadapt
  300.000000  300.000000  500.000000	box dimensions in microns
  15    15    25 	number of tissue points in x,y,z directions
  0.000000			outer bound distance (100. in test case)
  75.000000				max. segment length.  (5. in test case)
   40				nodsegm, max. number of segments per node
  1324				total number of segments 
  name type from  to  diam       flow
	1	  4	  1	  2	  7.000000	  35.430187	  0.400000  
	2	  3	  2	  3	  11.074226	  35.430187	  0.400000  
	3	  5	  3	  4	  11.089331	  35.430187	  0.400000  
	4	  5	  4	  5	  11.108115	  35.430187	  0.400000  
	5	  5	  5	  26	  11.117935	  35.430187	  0.400000  
	6	  5	  6	  7	  10.426650	  16.980484	  0.507020  
	7	  5	  7	  569	  10.413126	  15.335461	  0.541814  
	8	  5	  156	  125	  10.381497	  13.906625	  0.575825  
	9	  5	  9	  10	  10.086805	  8.971210	  0.644688  
	14	  4	  14	  15	  16.000000	  -35.430187	  0.400000  
	15	  3	  15	  16	  11.457879	  -35.430187	  0.400000  
	17	  5	  17	  133	  11.440483	  -35.430187	  0.400000  
	18	  5	  18	  58	  11.050460	  -32.992165	  0.400579  
	21	  5	  33	  570	  7.647332	  -4.804890	  0.543177  
	22	  5	  22	  59	  8.456439	  -7.081706	  0.533831  
	23	  5	  865	  28	  7.602309	  -3.529180	  0.514386  
	24	  5	  24	  40	  7.221626	  -2.857980	  0.519685  
	26	  5	  20	  389	  9.120061	  -13.169294	  0.522930  
	27	  5	  28	  24	  7.163267	  -2.857980	  0.519685  
	28	  5	  12	  29	  6.676561	  2.170718	  0.607931  
	34	  5	  28	  48	  5.855292	  -0.671200	  0.491822  
	38	  5	  39	  17	  11.461406	  -35.430187	  0.400000  
	40	  5	  41	  33	  8.352033	  -8.306491	  0.535415  
	41	  5	  29	  42	  5.625047	  1.123858	  0.572625  
	42	  5	  25	  43	  5.978310	  -0.766671	  0.542822  
	43	  5	  26	  44	  3.843029	  2.401475	  0.036274  
	45	  5	  33	  747	  7.112217	  -3.501601	  0.524765  
	46	  5	  865	  165	  5.589416	  -0.948254	  0.607183  
	48	  5	  7	  49	  4.482613	  1.645024	  0.182650  
	54	  5	  41	  55	  6.858765	  -2.890869	  0.520267  
	57	  5	  58	  76	  10.639488	  -29.841560	  0.407352  
	58	  5	  59	  865	  6.925622	  -2.649905	  0.552446  
	59	  5	  42	  60	  5.068471	  0.745517	  0.609405  
	61	  5	  44	  169	  3.943062	  2.401475	  0.036274  
	64	  5	  165	  1262	  6.515457	  -1.484292	  0.540846  
	65	  5	  48	  66	  4.011407	  -0.368451	  0.267692  
	66	  5	  49	  67	  4.539761	  1.645024	  0.182650  
	68	  5	  10	  1082	  6.106498	  2.284095	  0.545991  
	70	  5	  16	  39	  11.439594	  -35.430187	  0.400000  
	72	  5	  40	  72	  5.263350	  -0.569678	  0.670672  
	73	  5	  55	  73	  6.882054	  -2.890869	  0.520267  
	75	  5	  58	  75	  6.816685	  -3.150604	  0.336433  
	77	  5	  59	  1477	  7.734652	  -3.990850	  0.562587  
	78	  5	  29	  1522	  6.662413	  1.651441	  0.631756  
	80	  5	  570	  667	  8.606730	  -7.363847	  0.527068  
	85	  5	  64	  85	  4.989898	  -1.020540	  0.566939  
	86	  5	  65	  86	  5.714891	  -0.556733	  0.766972  
	87	  5	  66	  87	  3.929071	  -0.368451	  0.267692  
	88	  5	  67	  88	  4.596951	  1.645024	  0.182650  
	92	  5	  72	  91	  5.207421	  -0.569678	  0.670672  
	95	  5	  75	  1673	  5.903164	  -1.445867	  0.363584  
	97	  5	  1477	  1190	  6.429097	  -1.642598	  0.499794  
	100	  5	  570	  121	  7.563495	  3.329514	  0.440347  
	103	  5	  102	  20	  9.299637	  -15.664336	  0.493424  
	106	  5	  169	  105	  3.882601	  2.401475	  0.036274  
	108	  5	  85	  107	  4.891651	  -1.020540	  0.566939  
	109	  5	  86	  395	  5.714141	  -0.556733	  0.766972  
	111	  5	  88	  110	  4.648105	  1.645024	  0.182650  
	114	  5	  91	  113	  4.759393	  -0.308355	  0.584933  
	115	  5	  92	  114	  4.823784	  -0.840078	  0.515034  
	119	  5	  1190	  118	  4.361785	  -0.273217	  0.201616  
	121	  5	  156	  267	  4.085593	  1.428836	  0.210795  
	123	  5	  26	  396	  8.173547	  10.203835	  0.328024  
	127	  5	  12	  336	  6.618657	  -2.170718	  0.607931  
	128	  5	  102	  330	  4.854693	  -0.548952	  0.509566  
	132	  5	  75	  131	  6.105730	  -1.704737	  0.313405  
	134	  5	  133	  18	  11.088729	  -32.992165	  0.400579  
	135	  5	  26	  6	  10.720466	  22.824877	  0.470446  
	136	  5	  849	  1585	  3.223105	  -0.143707	  0.743106  
	138	  5	  105	  137	  3.950104	  2.401475	  0.036274  
	140	  5	  107	  139	  4.872953	  -1.020540	  0.566939  
	141	  5	  395	  983	  3.468331	  -0.159654	  0.500472  
	143	  5	  110	  142	  4.699169	  1.645024	  0.182650  
	146	  5	  113	  145	  5.508604	  -0.600173	  0.581037  
	147	  5	  114	  146	  3.195351	  0.165070	  0.096898  
	151	  5	  118	  150	  7.273860	  -2.139838	  0.577822  
	155	  5	  396	  153	  7.970292	  8.090140	  0.366153  
	160	  5	  330	  157	  4.675022	  -0.548952	  0.509566  
	161	  5	  40	  1180	  5.751040	  -0.759218	  0.499255  
	164	  5	  131	  161	  6.090419	  -1.704737	  0.313405  
	166	  5	  133	  163	  6.566823	  -2.438022	  0.392159  
	168	  5	  25	  40	  5.890333	  0.766671	  0.542822  
	171	  5	  73	  167	  6.955380	  1.856804	  0.367191  
